1. Opportunity Name,2. Region,3. County,4. Location,5. Type,6. Ensemble (if app.),7. Genre,8. Age,9. Level,10. Instruments,11. Other Tags,12. Cost,13. About Opportunity,14. When,15. Opportunity Website / Signup,16. Organisation Name,17. About Organisation,18. Organisation Website,19. Only for London/Local?,20. Extra Notes
Reading - Out of the Attic Orchestra,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Orchestra,Orchestral,18 +,Grade 5+,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Harp, Violin, Viola, Cello, Double Bass, Euphonium","Grade 5, Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"ut of the Attic is a friendly, inclusive orchestra for adults. Our name was given by our founding members, many of whom were returning to playing music after a long break and were getting their instruments back 'Out of the Attic'. This ensemble is suited to any string, brass, woodwind or percussion players of roughly grade 5 standard or above. We are always pleased to welcome new members so please do get in touch if you would like to join.",Thursdays 19:00 - 20:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
West Berkshire Initial String Orchestra,South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,String Ensemble,Orchestral,Young String Players,Grade 1-3,"Violin, Viola, Cello, Double Bass","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,This ensemble is for young string players that have achieved Grade 1 to 3 standard meet to play together and consolidate their instrumental learning while having fun making music with other children of their same standard. Rehearsal time will focus on the development of basic musical skills such as rhythm and counting as well as the correct use of basic bowing techniques.,Saturdays 9:00 - 10:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Wokingham Initial Brass Band,South East,Berkshire,Wokingham Music Centre - UK,Ensemble,Brass Ensemble,Orchestral,Young Brass Students,Grade 1-3,"Trumpet, Trombone, Tuba, Horns, Euphonium","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,An exciting group for students who have just started to play a brass instrument and learn more about music.,Tuesdays 16:50 - 17:50,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Let's Play - Guitar (Reading),South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Brass Ensemble,Orchestral,All Ages,5 Notes - Grade 1,Guitar,"Preparatory, Grade 1",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"A fun, inclusive group for all beginner pianists and guitarists to play together and learn more about music.",Coming Soon,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Intermediate Brass Band,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Brass Ensemble,Orchestral,All Ages,Grade 3 -5,"Trumpet, Trombone, Tuba, Horns, Euphonium","Grade 3, Grade 4, Grade 5",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,A fun group for brass instrument students who are keen to develop and progress their learning on music.,Saturdays 9:00 - 10:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Clarinet Ensemble,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Woodwind Ensemble,Orchestral,All Ages,Grade 8+,Clarinet,Grade 8,https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"Join our friendly cohort of clarinettists, enjoy a wide range of clarinet music and get to meet some of the more unusual members of the clarinet family, like the bellowing bass, the agile alto and the tiny mischievous E flat piccolo clarinets, as well as the regular “Liquorice Sticks”! New members always welcome.",Fridays 18:00 - 18:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
West Berkshire Initial Guitar Ensemble,South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,Guitar Group,Orchestral,All Ages,Grade 1 - 3,Guitar,"Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,A fun and friendly opportunity for guitar players to come together to make music.,Tuesdays 18:00 - 19:00 ,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Bracknell Initial Guitar Ensemble,South East,Berkshire,Bracknell Music Centre - UK,Ensemble,Guitar Group,Orchestral,All Ages,Grade 1 - 3,Guitar,"Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,A fun and friendly opportunity for guitar players to come together to make music.,Fridays 17:00 - 18:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Berkshire Youth String Ensemble,South East,Berkshire,Berkshire - UK,Ensemble,String Ensemble,Orchestral,All Ages,Grade 8+,"Violin, Viola, Cello, Double Bass",Grade 8,https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This ensemble offers young string musicians the opportunity to experience and achieve high standard performance in a professional-like atmosphere. Also provides our most talented pupils a more prominent platform to engage in the deep study of their instruments, while also developing orchestral/ensemble skills. Whenever required, the ensemble will function as well as a fixed group for Maestros events, such as the “Junior Music Festival”, competitions and so much more!",Mondays 20:05 - 21:55,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Let's Play - Band (West Berkshire),South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,Concert Band,Orchestral,All Ages,5 Notes - Grade 1,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium","Preparatory, Grade 1",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"An exciting, inclusive group for all beginner brass and woodwind students to play together and learn more about music.",Saturdays 09:15 - 10:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Initial Wind Band,South East,Berkshire,"Reading Music Centre, Reading - UK",Ensemble,Wind Band,Orchestral,All Ages,Grade 1 - 3,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"An exciting group for students who have just started to play a Wind, Brass or Percussion instrument and learn more about music.",Fridays 17:00 - 18:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Bracknell Senior String Orchestra,South East,Berkshire,Bracknell Music Centre - UK,Ensemble,String Ensemble,Orchestral,All Ages,Grade 6+,"Violin, Viola, Cello, Double Bass, Percussion","Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"During this activity pupils of Grade 6 to 8 meet weekly to work on well-established string repertoire, such as pieces for string orchestra, as well as solo concerts. This ensemble regularly takes part in “Music for Youth Festival” performing in famous venues around the country. Most of the pupils that attend this ensemble are also members of the Berkshire Youth Symphony Orchestra. This String ensemble includes a social break where all senior ensembles at Music Centre can meet.",Fridays 18:00 - 20:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Wokingham Intermediate String Orchestra,South East,Berkshire,Wokingham Music Centre - UK,Ensemble,String Ensemble,Orchestral,Young Players,Grade 3-5,"Violin, Viola, Cello, Double Bass, Percussion","Grade 3, Grade 4, Grade 5",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"his is a great opportunity for those more established young string players that are currently working at Grade 3 to 5 standard. During this rehearsal pupils will have a first experience of pieces that they will probably recognise from the standard orchestral repertoire. Sight-reading skills will be practised regularly and new bowing techniques will be introduced, such as those off the string articulations.",Wednesdays 17:45  - 19:15,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Wokingham Initial String Orchestra,South East,Berkshire,Wokingham Music Centre - UK,Ensemble,String Ensemble,Orchestral,Young Players,Grade 1 - 3,"Violin, Viola, Cello, Double Bass, Percussion","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,This ensemble is for young string players that have achieved Grade 1 to 3 standard meet to play together and consolidate their instrumental learning while having fun making music with other children of their same standard. Rehearsal time will focus on the development of basic musical skills such as rhythm and counting as well as the correct use of basic bowing techniques.,Mondays 16:30 - 17:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Wokingham Initial Wind Band,South East,Berkshire,wokingham Music Centre - UK,Ensemble,Wind Band,Orchestral,All Ages,Grade 1-3,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"An exciting group for students who have just started to play a Wind, Brass or Percussion instrument and learn more about music.",Mondays 18:00 - 19:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Let's Play - Strings (Bracknell),South East,Berkshire,bracknell Music Centre - UK,Ensemble,String Ensemble,Orchestral,All Ages,5 Notes - Grade 1,"Violin, Viola, Cello, Double Bass, Percussion","Preparatory, Grade 1",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This ensemble is a weekly opportunity for all beginner string players to join in and have a first experience of playing in an ensemble. Repertoire is based mostly around the four open strings and the occasional use of finger one. Pupils will also learn what playing with other musicians is like, preparing for informal performances around the year and learning the basics of their instrumental playing. Do come and join us!",Fridays 16:30 - 17:15,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Berkshire Youth Bassoon Ensemble,South East,Berkshire,Berkshire - UK,Ensemble,Woodwind Ensemble,Orchestral,12 - 18,Grade 8+,Bassoon,"Grade 8, Invitation Only, Audition",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"The Berkshire Youth Bassoon Ensemble (Acer Minor) was formed in September 2010. It got its name as Acer is the genus of maple trees, from which bassoons are made. It is a by invitation ensemble, with a minimum standard of grade 8 for entry. At the moment it is 14 strong, with an age range of 12 to 18. Acer has been lucky enough to perform in many prestigious venues and has won awards at the Music for Youth Festival in Birmingham in the past, as well as prizes at a number of local festivals.

Former members of Acer have gone on to study Music at many top conservatoires and universities both in the UK and abroad. Regardless of what former members of the Acer family go on to do in their careers, they all still play their bassoons and join the current Acer group every summer for an alumni concert in aid of Acer’s charity; The Toby Fund. The Toby Fund has raised thousands of pounds over the years, in memory of one of the founding members, with the money going to maintain instruments, purchase accessories and fund masterclasses and consultation lessons for bassoonists and contrabassoonists in Berkshire. The Toby Fund and Acer will be hosting our first national event in March 2023, inviting players and teachers from all over the UK to join us for masterclasses, talks and ensembles.",Mondays 18:00 - 19:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Berkshire Youth Symphony Orchestra,South East,Berkshire,Berkshire - UK,Ensemble,Orchestra,Orchestral,12 - 18,Grade 8+,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Harp, Violin, Viola, Cello, Double Bass, Percussion, Euphonium",Grade 8,https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"Our flagship orchestra is Berkshire Youth Symphony Orchestra. Led by Musical Director Jonathan Burnett and coordinated by Jessica Wilkins, BYSO is the culmination of a student’s orchestral learning, providing members with outstanding orchestral training together with musical, cultural and social experiences that are truly exceptional. BYSO meets three times per year, creating a structure similar to that of a professional orchestra, and performs at prestigious venues including the Royal Albert Hall and Birmingham Symphony Hall. It has benefitted from partnerships with organisations such as the BBC Concert Orchestra, RPO and BBC Symphony Orchestra, and regularly undertakes international tours to countries such as Poland, Hungary, Italy and China. Access to BYSO is by annual audition only.",Selected Weekends,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Wokingham Intermediate Wind Band,South East,Berkshire,Wokingham Music Centre - UK,Ensemble,Wind Band,Orchestral,All Ages,Grade 3-5,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Grade 3, Grade 4, Grade 5",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"A fun group for students who play a Wind, Brass or Percussion instrument and are keen to develop and progress on their learning of music",Tuesdays 18:00 - 19:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Bracknell Senior Brass Band,South East,Berkshire,Bracknell Music Centre - UK,Ensemble,Brass Ensemble,Orchestral,All Ages,Grade 6+,"Trumpet, Trombone, Tuba, Horns, Euphonium","Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,A fun group for all brass instrument students at a higher level and continue to advance on your learning.,Saturdays 9:30 - 11:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Bracknell Intermediate Brass Band,South East,Berkshire,Bracknell Music Centre - UK,Ensemble,Brass Ensemble,Orchestral,All Ages,Grade 3-5,"Trumpet, Trombone, Tuba, Horns, Euphonium","Grade 3, Grade 4, Grade 5",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,A fun group for brass instrument students who are keen to develop and progress their learning on music.,Saturdays 10:00 - 11:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Bracknell Senior Wind Band,South East,Berkshire,Bracknell Music Centre - UK,Ensemble,Wind Band,Orchestral,All Ages,Grade 6+,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"A fun group for Wind, Brass or Percussion students at a higher level and continue to advance on your learning.",Thursdays 19:00 - 21:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Let's Play - Band (Bracknell),South East,Berkshire,Bracknell Music Centre - UK,Ensemble,Concert Band,Orchestral,All Ages,5 Notes - Grade 1,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Preparatory, Grade 1",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"An exciting, inclusive group for all beginner brass and woodwind students to play together and learn more about music.",Saturdays 11:45 - 12:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
West Berkshire Percussion team,South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,Percussion Ensemble,Orchestral,All Ages,Grade 1-3,Percussion,"Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,An exciting group for all percussion and kit students Grade 1 - 8 to play together and develop your learning..,Saturdays 9:15 - 10:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
West Berkshire Double Reed Ensemble,South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,Woodwind Ensemble,Orchestral,All Ages,Grade 3-8,"Bassoon, Oboe","Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"This ensemble is open to bassoon and oboe players who are grade 3 - 8. We play music of all styles, from classical to Queen and everything in between, and there are a range of parts available to suit all standards.",Thursdays 18:00 - 18:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
West Berkshire Senior Wind Band,South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,Wind Band,Orchestral,All Ages,Grade 6+,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"A fun group for Wind, Brass or Percussion students at a higher level and continue to advance on your learning.",Saturdays 10:15 - 12:15,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
West Berkshire Intermediate Wind Band,South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,Wind Band,Orchestral,All Ages,Grade 3-5,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Grade 3, Grade 4, Grade 5",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"A fun group for students who play a Wind, Brass or Percussion instrument and are keen to develop and progress on their learning of music.",Saturdays 10:15 - 11:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
West Berkshire Initial Wind Band,South East,Berkshire,West Berkshire Music Centre - UK,Ensemble,Wind Band,Orchestral,All Ages,Grade 1 -3 ,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium, Percussion","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"An exciting group for students who have just started to play a Wind, Brass or Percussion instrument and learn more about music.",Saturdays 11:30 - 12:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
